Pavarde        Vardas         ND-1           ND-2           ND-3           ND-4           ND-5           Egzaminas      Galutinis-vidurkis  Galutinis-mediana   Kategorija          
Pavarde1       Vardas1        5              6              8              4              4              10             8.16                5                   Kietiakas           
Pavarde1       Vardas1        7              4              1              7              1              9              7                   5                   Kietiakas           
Pavarde1       Vardas1        5              2              10             9              6              3              4.36                5                   Vargsiukas          
Pavarde1       Vardas1        2              9              2              8              7              9              7.64                7                   Kietiakas           
Pavarde10      Vardas10       2              5              2              6              9              5              4.92                5                   Vargsiukas          
Pavarde10      Vardas10       4              10             7              7              7              4              5.2                 7                   Kietiakas           
Pavarde10      Vardas10       4              3              3              10             3              7              6.04                3                   Kietiakas           
Pavarde10      Vardas10       7              4              9              3              10             1              3.24                5                   Vargsiukas          
Pavarde13      Vardas13       3              5              6              5              2              10             7.68                5                   Kietiakas           
Pavarde13      Vardas13       7              6              5              10             10             4              5.44                6                   Kietiakas           
Pavarde13      Vardas13       2              3              5              6              3              6              5.12                4                   Kietiakas           
Pavarde13      Vardas13       5              8              10             9              4              9              8.28                8                   Kietiakas           
Pavarde14      Vardas14       2              8              8              6              2              8              6.88                7                   Kietiakas           
Pavarde15      Vardas15       6              2              3              5              8              6              5.52                5                   Kietiakas           
Pavarde15      Vardas15       10             2              7              10             3              2              3.76                5                   Vargsiukas          
Pavarde15      Vardas15       1              8              1              8              9              1              2.76                4                   Vargsiukas          
Pavarde17      Vardas17       8              5              7              10             2              7              6.76                7                   Kietiakas           
Pavarde2       Vardas2        6              2              6              8              3              6              5.6                 6                   Kietiakas           
Pavarde20      Vardas20       5              10             6              6              8              1              3.4                 6                   Vargsiukas          
Pavarde20      Vardas20       6              5              8              2              8              3              4.12                5                   Vargsiukas          
Pavarde20      Vardas20       6              3              1              8              1              1              2.12                2                   Vargsiukas          
Pavarde26      Vardas26       3              10             10             2              7              10             8.56                8                   Kietiakas           
Pavarde29      Vardas29       6              9              6              4              8              4              5.04                6                   Kietiakas           
Pavarde3       Vardas3        9              4              1              7              3              7              6.12                5                   Kietiakas           
Pavarde34      Vardas34       8              1              5              10             9              6              6.24                7                   Kietiakas           
Pavarde35      Vardas35       4              2              5              6              7              10             7.92                5                   Kietiakas           
Pavarde36      Vardas36       3              7              1              2              9              7              5.96                5                   Kietiakas           
Pavarde37      Vardas37       1              5              3              8              5              4              4.16                4                   Vargsiukas          
Pavarde37      Vardas37       6              3              1              3              3              5              4.28                3                   Vargsiukas          
Pavarde39      Vardas39       6              8              2              4              4              4              4.32                4                   Vargsiukas          
Pavarde39      Vardas39       4              7              7              2              8              2              3.44                5                   Vargsiukas          
Pavarde4       Vardas4        6              1              10             6              9              2              3.76                6                   Vargsiukas          
Pavarde40      Vardas40       3              4              1              5              10             5              4.84                4                   Vargsiukas          
Pavarde40      Vardas40       1              10             5              8              7              10             8.48                7                   Kietiakas           
Pavarde40      Vardas40       3              1              6              9              1              2              2.8                 2                   Vargsiukas          
Pavarde40      Vardas40       3              2              3              9              1              7              5.64                3                   Kietiakas           
Pavarde42      Vardas42       8              8              4              10             9              4              5.52                8                   Kietiakas           
Pavarde45      Vardas45       5              7              7              4              3              5              5.08                5                   Kietiakas           
Pavarde45      Vardas45       6              5              1              3              2              10             7.36                4                   Kietiakas           
Pavarde45      Vardas45       7              6              7              10             9              4              5.52                7                   Kietiakas           
Pavarde45      Vardas45       5              6              8              7              3              2              3.52                5                   Vargsiukas          
Pavarde45      Vardas45       9              9              2              5              3              1              2.84                4                   Vargsiukas          
Pavarde47      Vardas47       5              3              10             2              2              4              4.16                3                   Vargsiukas          
Pavarde49      Vardas49       7              3              4              2              4              10             7.6                 4                   Kietiakas           
Pavarde5       Vardas5        4              4              7              7              9              3              4.28                5                   Vargsiukas          
Pavarde5       Vardas5        2              6              4              8              4              8              6.72                5                   Kietiakas           
Pavarde50      Vardas50       8              2              10             6              3              3              4.12                4                   Vargsiukas          
Pavarde50      Vardas50       8              1              10             8              10             7              7.16                8                   Kietiakas           
Pavarde52      Vardas52       2              9              5              3              6              10             8                   5                   Kietiakas           
Pavarde52      Vardas52       8              9              6              9              9              7              7.48                8                   Kietiakas           
Pavarde53      Vardas53       6              6              10             1              7              4              4.8                 6                   Vargsiukas          
Pavarde55      Vardas55       1              2              2              1              3              1              1.32                1                   Vargsiukas          
Pavarde56      Vardas56       6              3              6              2              1              1              2.04                2                   Vargsiukas          
Pavarde57      Vardas57       9              2              5              1              9              6              5.68                5                   Kietiakas           
Pavarde58      Vardas58       1              4              10             3              8              7              6.28                5                   Kietiakas           
Pavarde59      Vardas59       3              8              9              9              3              10             8.56                8                   Kietiakas           
Pavarde6       Vardas6        2              6              5              7              6              6              5.68                6                   Kietiakas           
Pavarde61      Vardas61       2              3              10             10             9              7              6.92                8                   Kietiakas           
Pavarde62      Vardas62       3              3              3              5              10             10             7.92                4                   Kietiakas           
Pavarde62      Vardas62       8              9              2              7              3              2              3.52                5                   Vargsiukas          
Pavarde65      Vardas65       3              8              4              10             7              7              6.76                7                   Kietiakas           
Pavarde66      Vardas66       10             4              7              7              3              8              7.28                7                   Kietiakas           
Pavarde7       Vardas7        6              6              6              9              6              9              8.04                6                   Kietiakas           
Pavarde70      Vardas70       3              6              8              4              5              10             8.08                5                   Kietiakas           
Pavarde70      Vardas70       10             4              7              10             2              3              4.44                5                   Vargsiukas          
Pavarde72      Vardas72       4              10             2              2              7              5              5                   4                   Kietiakas           
Pavarde73      Vardas73       4              8              10             7              2              4              4.88                5                   Vargsiukas          
Pavarde76      Vardas76       5              10             9              5              6              9              8.2                 7                   Kietiakas           
Pavarde76      Vardas76       7              4              2              6              5              10             7.92                5                   Kietiakas           
Pavarde77      Vardas77       4              2              6              8              3              2              3.04                3                   Vargsiukas          
Pavarde78      Vardas78       6              6              6              4              5              6              5.76                6                   Kietiakas           
Pavarde78      Vardas78       10             5              3              1              7              6              5.68                5                   Kietiakas           
Pavarde79      Vardas79       4              1              4              9              4              4              4.16                4                   Vargsiukas          
Pavarde79      Vardas79       7              4              8              3              1              10             7.84                5                   Kietiakas           
Pavarde8       Vardas8        8              5              10             4              8              1              3.4                 6                   Vargsiukas          
Pavarde8       Vardas8        1              6              10             8              2              3              3.96                4                   Vargsiukas          
Pavarde81      Vardas81       9              9              9              4              10             1              3.88                9                   Vargsiukas          
Pavarde81      Vardas81       5              4              10             4              9              2              3.76                4                   Vargsiukas          
Pavarde81      Vardas81       4              8              1              3              8              7              6.12                5                   Kietiakas           
Pavarde81      Vardas81       6              9              4              4              1              1              2.52                4                   Vargsiukas          
Pavarde82      Vardas82       9              2              6              10             5              9              7.96                7                   Kietiakas           
Pavarde83      Vardas83       6              1              9              5              2              1              2.44                3                   Vargsiukas          
Pavarde86      Vardas86       9              4              6              6              1              7              6.28                6                   Kietiakas           
Pavarde87      Vardas87       4              3              4              1              10             10             7.76                4                   Kietiakas           
Pavarde88      Vardas88       3              2              5              1              8              9              6.92                4                   Kietiakas           
Pavarde89      Vardas89       7              6              5              6              6              7              6.6                 6                   Kietiakas           
Pavarde9       Vardas9        3              1              3              3              2              4              3.36                3                   Vargsiukas          
Pavarde9       Vardas9        4              8              10             3              7              6              6.16                6                   Kietiakas           
Pavarde90      Vardas90       6              9              7              8              4              5              5.72                6                   Kietiakas           
Pavarde90      Vardas90       2              4              4              8              10             6              5.84                5                   Kietiakas           
Pavarde92      Vardas92       3              1              6              9              10             5              5.32                5                   Kietiakas           
Pavarde92      Vardas92       9              9              1              1              5              9              7.4                 7                   Kietiakas           
Pavarde94      Vardas94       9              4              9              5              5              7              6.76                6                   Kietiakas           
Pavarde95      Vardas95       7              3              1              4              1              10             7.28                3                   Kietiakas           
Pavarde95      Vardas95       7              7              1              9              10             6              6.32                7                   Kietiakas           
Pavarde96      Vardas96       1              8              7              6              5              8              6.96                6                   Kietiakas           
Pavarde96      Vardas96       4              4              8              9              5              7              6.6                 6                   Kietiakas           
Pavarde97      Vardas97       5              4              7              7              5              9              7.64                6                   Kietiakas           
Pavarde98      Vardas98       9              7              5              3              10             9              8.12                8                   Kietiakas           
Pavarde99      Vardas99       4              9              8              6              9              9              8.28                8                   Kietiakas           
